Timestamp,Cell 1 Current,Cell 1 current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temperature,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temperature,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temperature,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp (SENSOR Failed),Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,5.36135,,,,,,7.04338,,,,,,7.98599,,,,,,5.59761,45.4,5.752,,45.1,5.76,1.26112,47.7,5.756,,47.4,5.776,47.595,36.8,5.744,,39.3,5.776,5.2275,36.9,5.74,,37.8,5.74,5.83226
,,,,,,5.36135,,,,,,7.04338,,,,,,7.91826,,,,,,5.6984,44.1,5.76,,44.4,5.76,1.22725,47,5.764,,46.5,5.78,49.6738,36.5,5.744,,38.8,5.78,5.39522,36.2,5.74,,36.8,5.744,5.56374
,,,,,,5.26056,,,,,,6.97645,,,,,,7.91826,,,,,,5.56374,43.3,5.752,,44.1,5.76,1.16113,46.4,5.76,,46,5.78,54.6182,36,5.744,,38,5.78,5.09284,35.9,5.74,,35.9,5.748,5.42908
,,,,,,5.32829,,,,,,7.00951,,,,,,7.8852,,,,,,5.6984,43.1,5.756,,43.8,5.764,1.195,46.2,5.764,,45.6,5.784,52.9459,35.9,5.748,,37.9,5.78,5.29443,35.5,5.744,,35.7,5.748,5.59761
,,,,,,5.32829,,,,,,6.90872,,,,,,7.95212,,,,,,5.59761,43.1,5.76,,43.4,5.764,1.26112,45.9,5.764,,45.7,5.784,46.7443,35.6,5.752,,37.9,5.78,5.05898,35.3,5.748,,35.9,5.748,5.63067
,,,,,,5.36135,,,,,,6.94258,,,,,,7.91826,,,,,,5.56374,42.6,5.76,,43.2,5.768,1.22725,45.5,5.764,,45.3,5.784,51.2066,35.5,5.752,,37.5,5.788,5.19363,35.2,5.748,,35.6,5.752,5.63067
,,,,,,5.26056,,,,,,6.94258,,,,,,7.85133,,,,,,5.56374,42.5,5.76,,43.2,5.768,1.195,45.4,5.764,,45.3,5.784,37.6319,35.7,5.748,,37.6,5.78,4.99205,35.2,5.748,,35.3,5.752,5.29443
,,,,,,5.32829,,,,,,6.90872,,,,,,7.85133,,,,,,5.66454,42.3,5.76,,43.1,5.768,1.16113,45.4,5.764,,45.3,5.784,50.7978,35.8,5.748,,37.2,5.784,4.99205,35.2,5.748,,35.5,5.748,5.39522
,,,,,,5.36135,,,,,,6.87566,,,,,,7.85133,,,,,,5.52988,42.7,5.784,,43.4,5.792,1.16113,46.2,5.792,,45.4,5.808,55.9487,35.8,5.772,,37.8,5.812,5.02511,35.3,5.772,,35.8,5.776,5.76533
,,,,,,4.72273,,,,,,6.37089,,,,,,7.17804,,,,,,4.95818,44.2,5.756,,44.5,5.764,0.824079,46.9,5.764,,46.1,5.784,69.2565,36.2,5.748,,38.3,5.784,4.52115,36,5.744,,36.6,5.748,4.89126
,,,,,,4.68887,,,,,,6.37089,,,,,,7.17804,,,,,,4.92432,43.1,5.76,,43.6,5.768,0.857945,46.2,5.768,,45.4,5.788,70.8337,35.7,5.752,,37.5,5.788,4.35343,35.5,5.748,,35.7,5.752,5.05898
,,,,,,4.7566,,,,,,6.30316,,,,,,7.2119,,,,,,4.85739,42.6,5.76,,43.2,5.768,0.925678,45.8,5.768,,45.2,5.784,69.6678,35.4,5.752,,37.3,5.792,4.52115,35.2,5.752,,35,5.752,4.7566
,,,,,,4.62194,,,,,,6.30316,,,,,,7.17804,,,,,,4.79046,42.5,5.764,,42.9,5.772,0.959544,45.4,5.768,,44.9,5.792,75.1234,35.3,5.752,,37.2,5.788,4.35343,34.7,5.752,,35.2,5.752,4.92432
,,,,,,4.7566,,,,,,6.23623,,,,,,7.24496,,,,,,4.89126,42.4,5.764,,42.4,5.772,0.925678,45.1,5.772,,44.4,5.792,74.0244,35.3,5.76,,37,5.788,4.58807,35,5.752,,35,5.756,4.99205
,,,,,,4.72273,,,,,,6.23623,,,,,,7.14498,,,,,,4.92432,42.2,5.764,,42.4,5.776,0.857945,45.4,5.768,,44.6,5.792,62.9897,35.2,5.752,,36.8,5.788,4.45422,34.5,5.752,,34.9,5.756,4.99205
,,,,,,4.65581,,,,,,6.1685,,,,,,7.17804,,,,,,4.89126,42.1,5.764,,42.5,5.768,0.824079,45.1,5.772,,44.9,5.792,67.406,35,5.756,,36.7,5.788,4.42035,34.6,5.756,,34.8,5.756,4.89126
,,,,,,4.72273,,,,,,6.30316,,,,,,7.2119,,,,,,4.79046,42.4,5.796,,42.8,5.8,0.824079,45.6,5.8,,45.1,5.82,55.0617,35.5,5.784,,37.2,5.816,4.52115,35,5.78,,35.1,5.784,4.99205
,,,,,,3.54628,,,,,,4.95818,,,,,,5.63067,,,,,,3.61321,44.2,5.776,,44.1,5.784,0.28867,46.5,5.784,,46,5.804,83.5811,35.6,5.768,,37.6,5.804,3.14311,36,5.764,,36.8,5.772,3.78173
,,,,,,3.57934,,,,,,5.05898,,,,,,5.56374,,,,,,3.61321,43,5.78,,43.5,5.788,0.220937,46.1,5.788,,45.3,5.808,79.3842,35,5.772,,36.9,5.804,3.31083,35,5.768,,35.8,5.772,3.68094
