Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.908,-73.5153,0.5,5.908,-67.011,0.2,5.912,-68.6961,0.1,5.904,-67.492,-0.1,5.904,-73.2206,0.1,5.92,-80.449,-0.1,5.904,-76.9192,0.0,5.912,-75.987
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.908,-73.6136,0.2,5.908,-67.044,0.3,5.912,-68.729,0.0,5.912,-67.525,0.0,5.908,-73.941,0.0,5.916,-81.787,0.4,5.904,-76.9518,0.0,5.908,-76.003
,,,,,,,,,,,,,,,,,,,,,,,,-0.1,5.908,-73.6136,0.2,5.908,-67.044,0.1,5.912,-68.7946,0.0,5.908,-67.569,0.0,5.908,-73.9738,0.1,5.916,-81.831,-0.1,5.904,-78.6847,0.1,5.908,-77.197
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.908,-73.6136,0.5,5.912,-67.033,0.3,5.912,-69.3851,0.1,5.908,-67.591,0.0,5.904,-73.9738,-0.1,5.92,-81.864,-0.1,5.908,-78.7173,0.1,5.912,-77.23
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.904,-73.7446,0.3,5.908,-67.076,0.0,5.912,-69.3851,0.1,5.912,-68.225,-0.1,5.904,-74.0064,0.0,5.92,-81.896,-0.1,5.904,-78.75,0.3,5.912,-78.962
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.904,-73.7773,0.2,5.912,-67.985,0.0,5.912,-69.4179,0.2,5.908,-68.236,0.1,5.904,-74.0393,0.2,5.92,-82.625,0.0,5.912,-78.75,0.2,5.912,-78.995
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.908,-73.7773,0.1,5.912,-68.039,0.0,5.912,-69.4508,0.0,5.912,-68.269,0.0,5.904,-75.0541,0.2,5.916,-82.658,0.1,5.908,-78.7827,-0.2,5.912,-79.028
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.908,-73.7773,0.2,5.908,-68.094,0.0,5.908,-69.4508,0.0,5.916,-68.98,-0.1,5.904,-75.0869,0.1,5.92,-82.69,0.0,5.904,-79.5016,0.1,5.912,-79.028
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.908,-75.0214,0.3,5.908,-68.171,0.1,5.912,-69.4836,0.0,5.916,-68.991,-0.1,5.904,-76.7229,0.2,5.92,-83.332,-0.1,5.904,-79.5016,0.1,5.912,-79.077
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.904,-75.0869,-0.2,5.912,-68.203,-0.1,5.908,-69.5164,0.0,5.912,-69.002,-0.1,5.904,-76.7229,0.0,5.92,-83.343,0.0,5.904,-79.5016,0.0,5.912,-79.812
